** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,1
small-town.txt,44892,1000,1
town.txt,451617,10000,17
large-town.txt,2255053,50000,60
city.txt,4511688,100000,92
large-city.txt,22554540,500000,556
metropolis.txt,45107513,1000000,1482
capital.txt,90209834,2000000,3227
megalopolis.txt,227564229,5000000,9173
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,2
town.txt,451617,10000,41
large-town.txt,2255053,50000,40
city.txt,4511688,100000,118
large-city.txt,22554540,500000,489
metropolis.txt,45107513,1000000,1238
capital.txt,90209834,2000000,2341
megalopolis.txt,227564229,5000000,5429
