** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,3
town.txt,451617,10000,25
large-town.txt,2255053,50000,142
city.txt,4511688,100000,277
large-city.txt,22554540,500000,1809
metropolis.txt,45107513,1000000,3815
capital.txt,90209834,2000000,9439
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,14
large-town.txt,2255053,50000,127
city.txt,4511688,100000,259
large-city.txt,22554540,500000,1727
metropolis.txt,45107513,1000000,3742
capital.txt,90209834,2000000,8644
